description,vlan,usage,iPv4_address,mac_address,port,connected_to,last_seen,location,model,code
antMiner-396,1204,47.1 MB,10.12.20.223,78:a1:d4:af:aa:8e,5,M12-POD4-11-sw,4/14/2022 00:39,M12-POD4-11-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-234,1204,47.9 MB,10.12.20.224,62:ff:4c:ac:20:b6,4,M12-POD4-12-sw,4/14/2022 00:39,M12-POD4-12-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-620,1204,47.2 MB,10.12.20.225,76:7c:51:1e:c3:ed,5,M12-POD4-12-sw,4/14/2022 00:39,M12-POD4-12-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-605,1204,59.9 MB,10.12.20.226,88:c0:d3:56:16:e8,5,M12-POD4-13-sw,4/14/2022 00:39,M12-POD4-13-1-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-483,1204,47.8 MB,10.12.20.227,ea:63:42:65:3e:2b,4,M12-POD4-13-sw,4/14/2022 00:39,M12-POD4-13-1-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-612,1204,45.9 MB,10.12.20.228,1a:8a:b9:b5:3a:0d,5,M12-POD4-14-sw,4/14/2022 00:39,M12-POD4-14-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-602,1204,47.9 MB,10.12.20.229,be:99:8a:23:23:40,4,M12-POD4-14-sw,4/14/2022 00:39,M12-POD4-14-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-168,1204,46.3 MB,10.12.20.230,d0:a5:c6:13:64:e7,5,M12-POD4-15-sw,4/14/2022 00:39,M12-POD4-15-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-785,1204,48.9 MB,10.12.20.232,9c:01:38:75:94:a7,4,M12-POD4-16-sw,4/14/2022 00:39,M12-POD4-16-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-402,1204,47.9 MB,10.12.20.233,98:96:c5:84:7d:f1,5,M12-POD4-16-sw,4/14/2022 00:39,M12-POD4-16-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-392,1204,48.4 MB,10.12.20.236,28:6b:63:dd:c7:d7,5,M12-POD4-18-sw,4/14/2022 00:39,M12-POD4-18-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-202,1204,63.5 MB,10.12.20.237,7a:7a:73:e0:e8:5c,5,M12-POD4-19-sw,4/14/2022 00:39,M12-POD4-19-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-172,1204,46.4 MB,10.12.20.239,b8:d5:e2:e5:fb:e1,5,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-209,1204,67.7 MB,10.12.20.240,42:89:56:b7:83:a9,4,M12-POD4-20-sw,4/14/2022 00:39,M12-POD4-20-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-180,1204,55.0 MB,10.12.20.242,9a:b9:6a:f3:e0:ec,5,M12-POD4-21-sw,4/14/2022 00:39,M12-POD4-21-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-376,1204,45.7 MB,10.12.20.243,ae:2d:ad:c6:03:47,4,M12-POD4-22-sw,4/14/2022 00:39,M12-POD4-22-1-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-786,1204,45.2 MB,10.12.20.244,8a:5f:0f:0f:a1:78,5,M12-POD4-22-sw,4/14/2022 00:39,M12-POD4-22-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-196,1204,73.0 MB,10.12.20.246,70:c7:09:f3:4d:0d,4,M12-POD4-24-sw,4/14/2022 00:39,M12-POD4-24-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-564,1204,44.9 MB,10.12.20.247,04:d2:18:a8:f2:0e,4,M12-POD4-23-sw,4/14/2022 00:39,M12-POD4-23-1-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-503,1204,51.5 MB,10.12.20.248,4a:3e:62:1e:94:9b,5,M12-POD4-23-sw,4/14/2022 00:39,M12-POD4-23-1-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-375,1204,47.6 MB,10.12.20.249,dc:c1:06:77:3b:10,2,M12-POD4-24-sw,4/14/2022 00:39,M12-POD4-24-1-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-490,1204,53.1 MB,10.12.21.4,ea:8e:da:08:33:e9,3,M12-POD4-33-sw,4/14/2022 00:39,M12-POD4-33-1-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-554,1204,58.9 MB,10.12.21.5,5c:aa:f2:ec:1f:76,5,M12-POD4-32-sw,4/14/2022 00:39,M12-POD4-32-1-5,Antminer T17+ (vnish 2.0.4), T17+
